name,image_url,about,books_written
William Saroyan,https://images.gr-assets.com/authors/1207407131p5/4095.jpg,"William Saroyan was an American - Armenian author. The setting of many of his stories and plays was Fresno, California (sometimes under a fictional name), the center of Armenian-American life in California and where he grew up.Saroyan was born in Fresno, California to Armenian immigrants from Bitlis, Turkey. At the age of three, after his father's death, Saroyan was placed in the orphanage in Oakland, California, together with his brother and sister, an experience he later described in his writing. Five years later, the family reunited in Fresno, where his mother, Takoohi, secured work at a cannery. He continued his education on his own, supporting himself by taking odd jobs, such as working as an office manager for the San Francisco Telegraph Company.Saroyan decided to become a writer after his mother showed him some of his father's writings. A few of his early short articles were published in Overland Monthly. His first stories appeared in the 1930s. Among these was ""The Broken Wheel"", written under the name Sirak Goryan and published in the Armenian journal Hairenik in 1933. Many of Saroyan's stories were based on his childhood experiences among the Armenian-American fruit growers of the San Joaquin Valley, or dealt with the rootlessness of the immigrant. The short story collection My Name is Aram (1940), an international bestseller, was about a young boy and the colorful characters of his immigrant family. It has been translated into many languages.For more info see http://en.wikipedia.org/wiki/William_...","under the name Sirak Goryan and published in the Armenian journal Hairenik in 1933. Many of Saroyan's stories were based on his childhood experiences among the Armenian-American fruit growers of the San Joaquin Valley, or dealt with the rootlessness of the immigrant. The short story collection My Name is Aram (1940)"
Cormac McCarthy,https://images.gr-assets.com/authors/1611995562p5/4178.jpg,"Cormac McCarthy is an American novelist and playwright. He has written ten novels in the Southern Gothic, western, and post-apocalyptic genres and has also written plays and screenplays. He received the Pulitzer Prize in 2007 for The Road, and his 2005 novel No Country for Old Men was adapted as a 2007 film of the same name, which won four Academy Awards, including Best Picture. His earlier Blood Meridian (1985) was among Time Magazine's poll of 100 best English-language books published between 1925 and 2005 and he placed joint runner-up for a similar title in a poll taken in 2006 by The New York Times of the best American fiction published in the last 25 years. Literary critic Harold Bloom named him as one of the four major American novelists of his time, along with Thomas Pynchon, Don DeLillo, and Philip Roth. He is frequently compared by modern reviewers to William Faulkner. In 2009, Cormac McCarthy won the PEN/Saul Bellow Award, a lifetime achievement award given by the PEN American Center.","ten novels in the Southern Gothic, western, and post-apocalyptic genres and has also written plays and screenplays. He received the Pulitzer Prize in 2007 for The Road, and his 2005 novel No Country for Old Men was adapted as a 2007 film of the same name, which won four Academy Awards, including Best Picture. His earlier Blood Meridian (1985)"
Nora Kelly,https://images.gr-assets.com/authors/1284396264p5/4653.jpg,Nora Hickson Kelly was born in the United States in 1945. She grew up in Jersey and spent summers on Cape Cod. She now divides her time between Cambridge and Vancouver. She teaches part-time and is at work on her new novel. She had one son.She has written five crime novels featuring Gillian Adams.Series:* Gillian Adams MysteryAwards:Arthur Ellis Award◊ Best Novel (1999): Old Wounds,five crime novels featuring Gillian Adams.Series:* Gillian Adams MysteryAwards:Arthur Ellis Award◊ Best Novel (1999)
Amy Tan,https://images.gr-assets.com/authors/1437607346p5/5246.jpg,"Amy Tan (Chinese: 譚恩美; pinyin: Tán Ēnměi; born February 19, 1952) is an American writer whose works explore mother-daughter relationships and what it means to grow up as a first generation Asian American. In 1993, Tan's adaptation of her most popular fiction work, The Joy Luck Club, became a commercially successful film.She has written several other books, including The Kitchen God's Wife, The Hundred Secret Senses, and The Bonesetter's Daughter, and a collection of non-fiction essays entitled The Opposite of Fate: A Book of Musings. Her most recent book, Saving Fish From Drowning, explores the tribulations experienced by a group of people who disappear while on an art expedition into the jungles of Burma. In addition, Tan has written two children's books: The Moon Lady (1992) and Sagwa, The Chinese Siamese Cat (1994), which was turned into an animated series airing on PBS. She has also appeared on PBS in a short spot on encouraging children to write.Currently, she is the literary editor for West, Los Angeles Times' Sunday magazine.","several other books, including The Kitchen God's Wife, The Hundred Secret Senses, and The Bonesetter's Daughter, and a collection of non-fiction essays entitled The Opposite of Fate: A Book of Musings. Her most recent book, Saving Fish From Drowning, explores the tribulations experienced by a group of people who disappear while on an art expedition into the jungles of Burma. In addition, Tan has written two children's books: The Moon Lady (1992)"
Ian Edginton,https://images.gr-assets.com/authors/1479105636p5/5770.jpg,"Edginton sees part of the key to his success coming from good relationships with artists, especially D'Israeli and Steve Yeowell as well as Steve Pugh and Mike Collins. He is best known for his steampunk/alternative history work (often with the artist D'Israeli) and is the co-creator of Scarlet Traces, a sequel to their adaptation of H.G. Wells' The War of the Worlds. With 2000 AD we has written Leviathan, Stickleback and, with art by Steve Yeowell, The Red Seas as well as one-off serials such as American Gothic (2005).His stories often have a torturous gestation. Scarlet Traces was an idea he had when first reading The War of the Worlds, its first few instalments appeared on Cool Beans website, before being serialised in the Judge Dredd Megazine. Also The Red Seas was initially going to be drawn by Phil Winslade and be the final release by Epic but Winslade was still tied up with Goddess and when ideas for replacement artists were rejected Epic was finally wound up - the series only re-emerging when Edginton was pitching ideas to Matt Smith at the start of his 2000 AD career.With D'Israeli he has created a number of new series including Stickleback, a tale of a strange villain in an alternative Victorian London, and Gothic, which he describes as ""Mary Shelley's Doc Savage"". With Simon Davis he recently worked on a survival horror series, Stone Island, and he has also produced a comic version of the computer game Hellgate: London with Steve Pugh.He is currently working on a dinosaurs and cowboys story called Sixgun Logic. Also as part of Top Cow's Pilot Season he has written an Angelus one-shot.http://comicbookdb.com/creator.php?ID...http://en.wikipedia.org/wiki/Ian_Edgi...","Leviathan, Stickleback and, with art by Steve Yeowell, The Red Seas as well as one-off serials such as American Gothic (2005)"
Thomas Keneally,https://images.gr-assets.com/authors/1204666492p5/6900.jpg,"Thomas Michael Keneally, AO (born 7 October 1935) is an Australian novelist, playwright and author of non-fiction. He is best known for writing Schindler's Ark, the Booker Prize-winning novel of 1982, which was inspired by the efforts of Poldek Pfefferberg, a Holocaust survivor. The book would later be adapted to Steven Spielberg's Schindler's List (1993), which won the Academy Award for Best Picture.Often published under the name Tom Keneally in Australia.Life and Career:Born in Sydney, Keneally was educated at St Patrick's College, Strathfield, where a writing prize was named after him. He entered St Patrick's Seminary, Manly to train as a Catholic priest but left before his ordination. He worked as a Sydney schoolteacher before his success as a novelist, and he was a lecturer at the University of New England (1968–70). He has also written screenplays, memoirs and non-fiction books.Keneally was known as ""Mick"" until 1964 but began using the name Thomas when he started publishing, after advice from his publisher to use what was really his first name. He is most famous for his Schindler's Ark (1982) (later republished as Schindler's List), which won the Booker Prize and is the basis of the film Schindler's List (1993). Many of his novels are reworkings of historical material, although modern in their psychology and style.Keneally has also acted in a handful of films. He had a small role in The Chant of Jimmie Blacksmith (based on his novel) and played Father Marshall in the Fred Schepisi movie, The Devil's Playground (1976) (not to be confused with a similarly-titled documentary by Lucy Walker about the Amish rite of passage called rumspringa).In 1983, he was made an Officer of the Order of Australia (AO). He is an Australian Living Treasure.He is a strong advocate of the Australian republic, meaning the severing of all ties with the British monarchy, and published a book on the subject in Our Republic (1993). Several of his Republican essays appear on the web site of the Australian Republican Movement.Keneally is a keen supporter of rugby league football, in particular the Manly-Warringah Sea Eagles club of the NRL. He made an appearance in the rugby league drama film The Final Winter (2007).In March 2009, the Prime Minister of Australia, Kevin Rudd, gave an autographed copy of Keneally's Lincoln biography to President Barack Obama as a state gift.Most recently Thomas Keneally featured as a writer in the critically acclaimed Australian drama, Our Sunburnt Country.Thomas Keneally's nephew Ben is married to the former NSW Premier, Kristina Keneally.","screenplays, memoirs and non-fiction books.Keneally was known as ""Mick"" until 1964 but began using the name Thomas when he started publishing, after advice from his publisher to use what was really his first name. He is most famous for his Schindler's Ark (1982)"
James Axler,https://images.gr-assets.com/authors/1442439216p5/7168.jpg,"""James Axler"" was a house pseudonym used by Gold Eagle Books, the action adventure imprint of Harlequin Enterprises Ltd.The pseudonym was first used for the Deathlands series, which began in 1986 with Pilgrimage to Hell, created by Christopher Lowder (under the pseudonym Jack Adrian) and co-written with Laurence James who continued Deathlands until retiring from the series in 1995.At that point, prolific author and comics creator Mark Ellis took over the ""Axler"" pen name. Mark created the popular Death Hawk character and also developed/created Star Rangers, The Justice Machine, Ninja Elite and The Miskatonic Project as well as working on such popular properties as Doc Savage, The Man From U.N.C.L.E., H.P. Lovecraft's Cthulhu, The Avenger, The Green Hornet, The Saint and The Wild Wild West and King Solomon's Mines. Mark contributed novels to Gold Eagle's Deathlands and Mack Bolan The Executioner series. In 1996 he created the best-selling OUTLANDERS series. He has produced more books as ""James Axler"" than any other writer.With the cancellation of the Gold Eagle imprint at the end of 2015, OUTLANDERS ended its 18.5 year run, making it the most successful mass-market paperback series of the last 30 years.Mark has been featured in Starlog, Comics Scene and Fangoria magazines. He has also been interviewed by Robert Siegel for NPR's All Things Considered.His books include THE EVERYTHING GUIDE TO WRITING GRAPHIC NOVELS, CRYPTOZOICA, THE SPUR: LOKI'S ROCK, THE SPUR: HELLDORADO, THE FALCON RESURRECTED and NOSFERATU: PLAGUE OF TERROR.His most recent books are PARALLAX PRIME: OF DIRE CHIMERAS (2017), KNIGHTWATCH: INVICTUS X , DEATH HAWK THE COMPLETE SAGA (2019) and CALLSIGN CERBERUS: EXILE TO HELL (2020).He lives in rural Ireland with his wife, best-selling author Melissa Martin Ellis.","with Laurence James who continued Deathlands until retiring from the series in 1995.At that point, prolific author and comics creator Mark Ellis took over the ""Axler"" pen name. Mark created the popular Death Hawk character and also developed/created Star Rangers, The Justice Machine, Ninja Elite and The Miskatonic Project as well as working on such popular properties as Doc Savage, The Man From U.N.C.L.E., H.P. Lovecraft's Cthulhu, The Avenger, The Green Hornet, The Saint and The Wild Wild West and King Solomon's Mines. Mark contributed novels to Gold Eagle's Deathlands and Mack Bolan The Executioner series. In 1996 he created the best-selling OUTLANDERS series. He has produced more books as ""James Axler"" than any other writer.With the cancellation of the Gold Eagle imprint at the end of 2015, OUTLANDERS ended its 18.5 year run, making it the most successful mass-market paperback series of the last 30 years.Mark has been featured in Starlog, Comics Scene and Fangoria magazines. He has also been interviewed by Robert Siegel for NPR's All Things Considered.His books include THE EVERYTHING GUIDE TO WRITING GRAPHIC NOVELS, CRYPTOZOICA, THE SPUR: LOKI'S ROCK, THE SPUR: HELLDORADO, THE FALCON RESURRECTED and NOSFERATU: PLAGUE OF TERROR.His most recent books are PARALLAX PRIME: OF DIRE CHIMERAS (2017)"
Shirley Hazzard,https://images.gr-assets.com/authors/1418422924p5/7486.jpg,"Author of fiction and non-fiction. Born in Australia, Shirley Hazzard now holds citizenship in Great Britain and the United States.As a child she travelled the world due to her parents’ diplomatic postings and at 16, worked for the British Intelligence in Hong Kong, monitoring civil war in China. After this she lived in New Zealand, Europe, USA and Italy. In the USA she worked for the United Nations Secretariat in New York.Since leaving this post she has been a full-time writer and passionate opponent of the United Nations, the subject of her book Defeat of an Ideal: A Study of the Self-Destruction of the United Nations (1973). She has also written non-fiction books Countenance of Truth: the United Nations and the Waldheim Case (1990) about the Kurt Waldheim case, and Greene on Capri: A Memoir (2000) about her friend, Graham Greene. In 1985, Coming of Age in Australia was published, a collection of her Australian Broadcasting Corporation Boyer lectures.Hazzard’s writing is as elegant and controlled as ever and this, rather than the plot, dominates her work. Her works of fiction include five novels: The Evening of the Holiday (1966); People in Glass Houses (1967); The Bay of Noon (1970); The Transit of Venus (1980); and most recently, after a break of over 20 years, The Great Fire (2003). This book was shortlisted for the 2004 Man Booker Prize for Fiction and the 2005 International IMPAC Dublin Literary Award. Shirley Hazzard lives in New York.",non-fiction books Countenance of Truth: the United Nations and the Waldheim Case (1990)
Irwin Shaw,https://images.gr-assets.com/authors/1491654461p5/7735.jpg,"Shaw was born Irwin Gilbert Shamforoff in the South Bronx, New York City, to Russian Jewish immigrants. Shaw was a prolific American playwright, screenwriter, novelist, and short-story author whose written works have sold more than 14 million copies. He is best known for his novels, The Young Lions (1948) and Rich Man Poor Man (1970). His parents were Rose and Will. His younger brother, David Shaw (died 2007), became a noted Hollywood producer. Shortly after Irwin's birth, the Shamforoffs moved to Brooklyn. Irwin changed his surname upon entering college. He spent most of his youth in Brooklyn, where he graduated from Brooklyn College with a Bachelor of Arts degree in 1934. Shaw began screenwriting in 1935 at the age of 21, and scripted for several radio shows, including Dick Tracy, The Gumps and Studio One. Shaw's first play, Bury the Dead (1936) was an expressionist drama about a group of soldiers killed in a battle who refuse to be buried. During the 1940s, Shaw wrote for a number of films, including Talk of the Town (a comedy about civil liberties), The Commandos Strike at Dawn (based on a C.S. Forester story about commandos in occupied Norway) and Easy Living (about a football player unable to enter the game due to a medical condition). Shaw married Marian Edwards. They had one son, Adam Shaw, born in 1950, himself a writer of magazine articles and non-fiction.Shaw enlisted in the U.S. Army and was a warrant officer during World War II.He served with an Army documentary film unit. The Young Lions, Shaw's first novel, was published in 1949. Based on his experiences in Europe during the war, the novel was very successful and was adapted into a 1958 film. Shaw's second novel, The Troubled Air, chronicling the rise of McCarthyism, was published in 1951. He was among those who signed a petition asking the U.S. Supreme Court to review the John Howard Lawson and Dalton Trumbo convictions for contempt of Congress, resulting from hearings by the House Committee on Un-American Activities. Falsely accused of being a communist by the Red Channels publication, Shaw was placed on the Hollywood blacklist by the movie studio bosses. In 1951 he left the United States and went to Europe, where he lived for 25 years, mostly in Paris and Switzerland. He later claimed that the blacklist ""only glancingly bruised"" his career. During the 1950s he wrote several more screenplays, including Desire Under the Elms (based on Eugene O'Neill's play) and Fire Down Below (about a tramp boat in the Caribbean).While living in Europe, Shaw wrote more bestselling books, notably Lucy Crown (1956), Two Weeks in Another Town (1960), Rich Man, Poor Man (1970) (for which he would later write a less successful sequel entitled Beggarman, Thief) and Evening in Byzantium (made into a 1978 TV movie). Rich Man, Poor Man was adapted into a highly successful ABC television miniseries in 1976.His novel Top of the Hill, about the Winter Olympics at Lake Placid in 1980, was made into a TV movie, starring Wayne Rogers, Adrienne Barbeau, and Sonny Bono.His last two novels were Bread Upon the Waters (1981) and Acceptable Losses (1982).Shaw died in Davos, Switzerland on May 16, 1984, aged 71, after undergoing treatment for prostate cancer.","works have sold more than 14 million copies. He is best known for his novels, The Young Lions (1948)"
Boris Pasternak,https://images.gr-assets.com/authors/1422699346p5/7902.jpg,"Boris Leonidovich Pasternak was born in Moscow to talented artists: his father a painter and illustrator of Tolstoy's works, his mother a well-known concert pianist. Though his parents were both Jewish, they became Christianized, first as Russian Orthodox and later as Tolstoyan Christians. Pasternak's education began in a German Gymnasium in Moscow and was continued at the University of Moscow. Under the influence of the composer Scriabin, Pasternak took up the study of musical composition for six years from 1904 to 1910. By 1912 he had renounced music as his calling in life and went to the University of Marburg, Germany, to study philosophy. After four months there and a trip to Italy, he returned to Russia and decided to dedicate himself to literature.Pasternak's first books of verse went unnoticed. With My Sister Life, 1922, and Themes and Variations, 1923, the latter marked by an extreme, though sober style, Pasternak first gained a place as a leading poet among his Russian contemporaries. In 1924 he published Sublime Malady, which portrayed the 1905 revolt as he saw it, and The Childhood of Luvers, a lyrical and psychological depiction of a young girl on the threshold of womanhood. A collection of four short stories was published the following year under the title Aerial Ways. In 1927 Pasternak again returned to the revolution of 1905 as a subject for two long works: ""Lieutenant Schmidt"", a poem expressing threnodic sorrow for the fate of the Lieutenant, the leader of the mutiny at Sevastopol, and ""The Year 1905"", a powerful but diffuse poem which concentrates on the events related to the revolution of 1905. Pasternak's reticent autobiography, Safe Conduct, appeared in 1931, and was followed the next year by a collection of lyrics, Second Birth, 1932. In 1935 he published translations of some Georgian poets and subsequently translated the major dramas of Shakespeare, several of the works of Goethe, Schiller, Kleist, and Ben Jonson, and poems by Petöfi, Verlaine, Swinburne, Shelley, and others. In Early Trains, a collection of poems written since 1936, was published in 1943 and enlarged and reissued in 1945 as Wide Spaces of the Earth. In 1957 Doctor Zhivago, Pasternak's only novel - except for the earlier ""novel in verse"", Spektorsky (1926) - first appeared in an Italian translation and has been acclaimed by some critics as a successful attempt at combining lyrical-descriptive and epic-dramatic styles. Pasternak lived in Peredelkino, near Moscow, until his death in 1960.","since 1936, was published in 1943 and enlarged and reissued in 1945 as Wide Spaces of the Earth. In 1957 Doctor Zhivago, Pasternak's only novel - except for the earlier ""novel in verse"", Spektorsky (1926)"
William Hjortsberg,https://images.gr-assets.com/authors/1333048656p5/8058.jpg,"William Hjortsberg was an acclaimed author of novels and screenplays. Born in New York City, he attended college at Dartmouth and spent a year at the Yale School of Drama before leaving to become a writer. For the next few years he lived in the Caribbean and Europe, writing two unpublished novels, the second of which earned him a creative writing fellowship at Stanford University.When his fellowship ended in 1968, Hjortsberg was discouraged, still unpublished, and making ends meet as a grocery store stock boy. No longer believing he could make a living as a novelist, he began writing strictly for his own amusement. The result was Alp (1969), an absurd story of an Alpine skiing village which Hjortsberg’s friend Thomas McGuane called, “quite possibly the finest comic novel written in America.”In the 1970s, Hjortsberg wrote two science fiction works: Gray Matters (1971) and Symbiography (1973). The first, a novel about human brains kept alive by science, was inspired by an off-the-cuff remark Hjortsberg made at a cocktail party. The second, a post-apocalyptic tale of a man who creates dreams, was later published in condensed form in Penthouse.After publishing Toro! Toro! Toro! (1974), a comic jab at the macho world of bullfighting, Hjortsberg wrote his best-known novel, Falling Angel (1978). This hard-boiled detective story with an occult twist was adapted for the screen as Angel Heart (1987), starring Robert De Niro. Hjortsberg also wrote the screenplay for Legend (1986), a dark fairy tale directed by Ridley Scott. In addition to being nominated for an Edgar Award for Falling Angel, Hjortsberg has won two Playboy Editorial Awards, for which he beat out Graham Greene and Nobel Prize winner Gabriel García Márquez. His most recent work is Jubilee Hitchhiker (2012), a biography of author Richard Brautigan. Hjortsberg lives with his family in Montana.Learn more at: http://www.openroadmedia.com/authors/...","in America.”In the 1970s, Hjortsberg wrote two science fiction works: Gray Matters (1971)"
Clara Reeve,https://images.gr-assets.com/authors/1343057086p5/8136.jpg,"Reeve was born in Ipswich, England, one of the eight children of Reverend Willian Reeve, M.A., Rector of Freston and of Kreson in Suffolk, and perpetual curate of St Nicholas. Her mother's maiden name was Smithies, daughter of a Smithies, a goldsmith and jeweller to King George I. In a letter to one of her friends Reeve said the following of her father and her early life: My father was an old Whig; from him I have learned all that I know; he was my oracle; he used to make me read the Parliamentary debates, while he smoked his pipe after supper. I gaped and yawned over them at the time, but, unawares to myself, they fixed my principles once and for all. He made me read Rapin's History of England; the information it gave made amends for its dryness. I read Cato's Letters by Trenchard and Gordon; I read the Greek and Roman histories, and Plutarch's Lives: all these at an age when few people of either sex can read their names.After the death of her father, she lived with her mother and sisters in Colchester. It was here that she first became an author, publishing a translation of a work by Barclay under the title of The Phoenix (1772). She was the author of several novels, of which only one is remembered: The Champion of Virtue, later known as The Old English Baron (1777), written in imitation of, or rivalry with, the Castle of Otranto by Horace Walpole, 4th Earl of Orford, with which it has often been printed. The first edition under the title of The Old English Baron was dedicated to the daughter of Samuel Richardson, who is said to have helped Reeve revise and correct the novel.Her novel noticeably influenced Mary Shelley's Frankenstein. She also wrote the epistolatory novel The School for Widows (1791). Her innovative history of prose fiction, The Progress of Romance (1785), can be regarded generally as a precursor to modern histories of the novel and specifically as upholding the tradition of female literary history heralded by Elizabeth Rowe (1674–1737) and Susannah Dobson, d. 1795. One of the stories in this work, ""The History of Charoba, Queen of Egypt"", was the inspiration for Walter Savage Landor's first major work Gebir.Reeve led a retired life, leaving very little biographical material. She died at Ipswitch, and was buried by her own direction in the churchyard of St. Stephens, next to her friend the Reverend Derby.","in imitation of, or rivalry with, the Castle of Otranto by Horace Walpole, 4th Earl of Orford, with which it has often been printed. The first edition under the title of The Old English Baron was dedicated to the daughter of Samuel Richardson, who is said to have helped Reeve revise and correct the novel.Her novel noticeably influenced Mary Shelley's Frankenstein. She also wrote the epistolatory novel The School for Widows (1791)"
Penny Junor,https://images.gr-assets.com/authors/1380639165p5/8211.jpg,"Born in Leatherhead, Surrey, Junor was educated at the independent Benenden School in Kent and read History at St Andrews University, but left in her second year to get married.Junor has worked for the Evening Standard and a column for Private Eye lasted five years. Best known for her books on the British Royal Family, she has written biographies of Diana, Princess of Wales (1982) and Charles, Prince of Wales (1987 and 1998), and Charles and Diana: Portrait of a Marriage (1991). The Firm: The Troubled Life of the House of Windsor followed in 2005. Her work on the Waleses ""alienated"" both of them and she reportedly considers the experience the worst of her career. She has also written and had published a book titled Prince William: The Man Who Will Be King. This biography of Prince William ends with his marriage to Kate Middleton, now Duchess of Cambridge. Junor's other books include works on Margaret Thatcher (1983), actor Richard Burton (1986), John Major (1993) and Wonderful Tonight: George Harrison, Eric Clapton, and Me (2007), the co-authored memoir of Pattie Boyd a former wife of both musicians. Junor assisted Sir Cliff Richard in writing the number one best selling My Life, My Way which sold over 250,000 copies (2008) and Shaun Ellis with his book The Man Who Lives with Wolves (2009).","biographies of Diana, Princess of Wales (1982); and had published a book titled Prince William: The Man Who Will Be King. This biography of Prince William ends with his marriage to Kate Middleton, now Duchess of Cambridge. Junor's other books include works on Margaret Thatcher (1983)"
Hugh B. Cave,https://images.gr-assets.com/authors/1288993349p5/8637.jpg,"Hugh Barnett Cave was a prolific writer of pulp fiction who also excelled in other genres.Sources differ as to when Cave sold his first story: some say it was while he still attended Brookline High School, others cite ""Island Ordeal"", written at age 19 in 1929 while still working for the vanity press.In his early career he contributed to such pulp magazines as Astounding, Black Mask, and Weird Tales. By his own estimate, in the 1930s alone, he published roughly 800 short stories in nearly 100 periodicals under a number of pseudonyms. Of particular interest during this time was his series featuring an independent gentleman of courageous action and questionable morals called simply The Eel. These adventures appeared in the late 1930s and early 40s under the pen name Justin Case. Cave was also one of the most successful contributors to the weird menace or ""shudder pulps"" of the 1930s.In 1943, drawing on his experience as a war reporter, he authored one of his most highly regarded novels, Long Were the Nights, telling of the first PT boats at Guadalcanal. He also wrote a number of other books on the war in the Pacific during this period.During his post-war sojourn in Haiti, he became so familiar with the religion of Voodoo that he published Haiti: High Road to Adventure, a nonfiction work critically acclaimed as the ""best report on voodoo in English."" His Caribbean experiences led to his best-selling Voodoo-themed novel, The Cross On The Drum (1959), an interracial story in which a white Christian missionary falls in love with a black Voodoo priest's sister.During this midpoint in his career Cave advanced his writing to the ""slick"" magazines, including Collier's, Family Circle, Ladies' Home Journal, Redbook, and the Saturday Evening Post. It was in this latter publication, in 1959, that ""The Mission,"" his most popular short story, appeared—subsequently issued in hardcover by Doubleday, reprinted in textbooks, and translated into a number of languages.But his career took a dip in the early 1970s. According to The Guardian, with the golden era of pulp fiction now in the past, Cave's ""only regular market was writing romance for women's magazines."" He was rediscovered, however, by Karl Edward Wagner, who published Murgunstrumm and Others, a horror story collection that won Cave the 1978 World Fantasy Award. Other collections followed and Cave also published new horror fiction.His later career included the publication in the late 1970s and early 1980s of four successful fantasy novels: Legion of the Dead (1979), The Nebulon Horror (1980), The Evil (1981), and Shades of Evil (1982). Two other notable late works are Lucifer's Eye (1991) and The Mountains of Madness (2004). Moreover, Cave took naturally to the Internet, championing the e-book to such an extent that electronic versions of his stories can readily be purchased online.Over his entire career he wrote more than 1,000 short stories in nearly all genres (though he is best remembered for his horror and crime pieces), approximately forty novels, and a notable body of nonfiction. He received the Phoenix Award as well as lifetime achievement awards from the International Horror Guild, the Horror Writers Association, and the World Fantasy Convention. (From Wikipedia.)Used the pseudonyms John Starr and Justin Case","at age 19 in 1929 while still working for the vanity press.In his early career he contributed to such pulp magazines as Astounding, Black Mask, and Weird Tales. By his own estimate, in the 1930s alone, he published roughly 800 short stories in nearly 100 periodicals under a number of pseudonyms. Of particular interest during this time was his series featuring an independent gentleman of courageous action and questionable morals called simply The Eel. These adventures appeared in the late 1930s and early 40s under the pen name Justin Case. Cave was also one of the most successful contributors to the weird menace or ""shudder pulps"" of the 1930s.In 1943, drawing on his experience as a war reporter, he authored one of his most highly regarded novels, Long Were the Nights, telling of the first PT boats at Guadalcanal. He also wrote a number of other books on the war in the Pacific during this period.During his post-war sojourn in Haiti, he became so familiar with the religion of Voodoo that he published Haiti: High Road to Adventure, a nonfiction work critically acclaimed as the ""best report on voodoo in English."" His Caribbean experiences led to his best-selling Voodoo-themed novel, The Cross On The Drum (1959)"
Richard Matheson,https://images.gr-assets.com/authors/1200467797p5/8726.jpg,"Born in Allendale, New Jersey to Norwegian immigrant parents, Matheson was raised in Brooklyn and graduated from Brooklyn Technical High School in 1943. He then entered the military and spent World War II as an infantry soldier. In 1949 he earned his bachelor's degree in journalism from the University of Missouri and moved to California in 1951. He married in 1952 and has four children, three of whom (Chris, Richard Christian, and Ali Matheson) are writers of fiction and screenplays.His first short story, ""Born of Man and Woman,"" appeared in the Magazine of Fantasy and Science Fiction in 1950. The tale of a monstrous child chained in its parents' cellar, it was told in the first person as the creature's diary (in poignantly non-idiomatic English) and immediately made Matheson famous. Between 1950 and 1971, Matheson produced dozens of stories, frequently blending elements of the science fiction, horror and fantasy genres.Several of his stories, like ""Third from the Sun"" (1950), ""Deadline"" (1959) and ""Button, Button"" (1970) are simple sketches with twist endings; others, like ""Trespass"" (1953), ""Being"" (1954) and ""Mute"" (1962) explore their characters' dilemmas over twenty or thirty pages. Some tales, such as ""The Funeral"" (1955) and ""The Doll that Does Everything"" (1954) incorporate zany satirical humour at the expense of genre clichés, and are written in an hysterically overblown prose very different from Matheson's usual pared-down style. Others, like ""The Test"" (1954) and ""Steel"" (1956), portray the moral and physical struggles of ordinary people, rather than the then nearly ubiquitous scientists and superheroes, in situations which are at once futuristic and everyday. Still others, such as ""Mad House"" (1953), ""The Curious Child"" (1954) and perhaps most famously, ""Duel"" (1971) are tales of paranoia, in which the everyday environment of the present day becomes inexplicably alien or threatening.He wrote a number of episodes for the American TV series The Twilight Zone, including ""Steel,"" mentioned above and the famous ""Nightmare at 20,000 Feet""; adapted the works of Edgar Allan Poe for Roger Corman and Dennis Wheatley's The Devil Rides Out for Hammer Films; and scripted Steven Spielberg's first feature, the TV movie Duel, from his own short story. He also contributed a number of scripts to the Warner Brothers western series ""The Lawman"" between 1958 and 1962. In 1973, Matheson earned an Edgar Award from the Mystery Writers of America for his teleplay for The Night Stalker, one of two TV movies written by Matheson that preceded the series Kolchak: The Night Stalker. Matheson also wrote the screenplay for Fanatic (US title: Die! Die! My Darling!) starring Talullah Bankhead and Stefanie Powers.Novels include The Shrinking Man (filmed as The Incredible Shrinking Man, again from Matheson's own screenplay), and a science fiction vampire novel, I Am Legend, which has been filmed three times under the titles The Omega Man and The Last Man on Earth and once under the original title. Other Matheson novels turned into notable films include What Dreams May Come, Stir of Echoes, Bid Time Return (as Somewhere in Time), and Hell House (as The Legend of Hell House) and the aforementioned Duel, the last three adapted and scripted by Matheson himself. Three of his short stories were filmed together as Trilogy of Terror, including ""Prey"" with its famous Zuni warrior doll.In 1960, Matheson published The Beardless Warriors, a nonfantastic, autobiographical novel about teenage American soldiers in World War II.He died at his home on June 23, 2013, at the age of 87http://us.macmillan.com/author/richar...","in an hysterically overblown prose very different from Matheson's usual pared-down style. Others, like ""The Test"" (1954)"
